TF Name	Accuracy	Sensitivity	Specificity	F1 Score
MEF2A	0.67	0.6060606060606061	0.7014925373134329	0.547945205479452
IKZF1	0.52	0.4266666666666667	0.576	0.4
BCL3	0.45	0.3709677419354839	0.5186915887850467	0.3854748603351955
BATF	0.5325	0.41379310344827586	0.5654952076677316	0.277992277992278
EBF1	0.585	0.37373737373737376	0.654485049833887	0.30833333333333335
ELF1	0.4175	0.39666666666666667	0.48	0.505307855626327
MAX	0.565	0.5055555555555555	0.6136363636363636	0.5112359550561798
BHLHE40	0.57	0.4666666666666667	0.6425531914893617	0.4723926380368098
MXI1	0.49	0.4392523364485981	0.5085324232081911	0.31543624161073824
EGR1	0.57	0.36363636363636365	0.6107784431137725	0.21818181818181817
REST	0.48	0.5135135135135135	0.4765840220385675	0.15447154471544716
RELA	0.58	0.42105263157894735	0.6064139941690962	0.2222222222222222
TCF12	0.5025	0.4881516587677725	0.5185185185185185	0.508641975308642
RUNX3	0.5325	0.35185185185185186	0.5993150684931506	0.2889733840304182
SIN3A	0.57	0.5555555555555556	0.573170731707317	0.31746031746031744
NFYB	0.5725	0.4489795918367347	0.5897435897435898	0.20465116279069767
NFIC	0.535	0.4244604316546763	0.5938697318007663	0.3881578947368421
PAX5	0.485	0.44285714285714284	0.5833333333333334	0.5462555066079295
NFATC1	0.5425	0.40816326530612246	0.5860927152317881	0.3041825095057034
SPI1	0.44	0.3557692307692308	0.53125	0.3978494623655914
USF2	0.495	0.417910447761194	0.5728643216080402	0.4540540540540541
ZEB1	0.5575	0.48148148148148145	0.5962264150943396	0.4234527687296417
USF1	0.5375	0.4367816091954023	0.5654952076677316	0.29118773946360155
TCF3	0.485	0.39325842696629215	0.5585585585585585	0.4046242774566474
ZNF143	0.5625	0.5084745762711864	0.5718475073313783	0.2553191489361702
YY1	0.56	0.48872180451127817	0.5955056179775281	0.42483660130718953
